timestamp,Infrared to Red Signal Ratio
08/12/18 18:30:30,0
08/12/18 23:24:00,5
08/12/18 23:25:00,0
08/12/18 23:26:00,-1
08/12/18 23:27:00,4
08/12/18 23:28:00,11
08/12/18 23:29:00,2
08/12/18 23:30:00,0
08/12/18 23:31:00,0
08/12/18 23:32:02,0
08/12/18 23:33:02,-5
08/12/18 23:34:02,-10
08/12/18 23:35:04,2
08/12/18 23:36:04,17
08/12/18 23:37:04,-19
08/12/18 23:38:04,0
08/12/18 23:39:03,0
08/12/18 23:40:03,2
08/12/18 23:41:03,-1
08/12/18 23:42:03,25
08/12/18 23:43:03,-2
08/12/18 23:44:03,-1
08/12/18 23:45:05,-1
08/12/18 23:46:05,-1
08/12/18 23:47:05,11
08/12/18 23:48:05,-1
08/12/18 23:49:05,-1
08/12/18 23:50:05,3
08/12/18 23:51:05,12
08/12/18 23:52:05,3
08/12/18 23:53:05,-3
08/12/18 23:54:05,3
08/12/18 23:55:05,7
08/12/18 23:56:05,1
08/12/18 23:57:05,6
08/12/18 23:58:05,5
08/12/18 23:59:05,0
